id,date,user,pc,to,cc,bcc,from,size,attachments
E000000,03/02/2010 02:08:00,grace.taylor,LAP0003,leo.harris@dtaa.com,,,grace.taylor@partner.com,40458406,0
E000001,06/16/2010 23:23:00,alice.smith,LAP0004,alice.smith@company.com,,,alice.smith@partner.com,43498196,2
E000002,09/21/2010 04:37:00,noah.martin,LAP0001,diana.wilson@partner.com,charlie.brown@dtaa.com,diana.wilson@dtaa.com,noah.martin@dtaa.com,24985555,0
E000003,04/30/2010 05:15:00,henry.clark,DSK0001,peter.robinson@partner.com,,,henry.clark@external.com,11738625,1
E000004,01/13/2010 07:26:00,iris.lee,DSK0002,grace.taylor@company.com,,,iris.lee@partner.com,45835875,1
E000005,12/13/2010 00:00:00,frank.miller,LAP0002,alice.smith@company.com,,,frank.miller@dtaa.com,29173065,9
E000006,11/06/2010 19:35:00,bob.johnson,DSK0002,olivia.garcia@dtaa.com,,,bob.johnson@company.com,6631783,4
E000007,04/19/2010 02:04:00,eve.davis,DSK0005,leo.harris@dtaa.com,,,eve.davis@company.com,10603637,1
E000008,07/17/2010 18:04:00,jack.white,DSK0002,iris.lee@dtaa.com,,,jack.white@dtaa.com,27194501,0
E000009,07/26/2010 22:50:00,noah.martin,DSK0003,olivia.garcia@external.com,,,noah.martin@dtaa.com,13660210,2
E000010,10/05/2010 14:02:00,charlie.brown,DSK0003,leo.harris@partner.com,peter.robinson@dtaa.com,leo.harris@dtaa.com,charlie.brown@external.com,29955359,0
E000011,07/13/2010 22:03:00,mia.thompson,DSK0005,olivia.garcia@partner.com,,,mia.thompson@external.com,32794337,1
E000012,06/30/2010 23:56:00,henry.clark,LAP0001,olivia.garcia@partner.com,karen.green@dtaa.com,,henry.clark@partner.com,4457989,4
E000013,09/30/2010 14:49:00,alice.smith,LAP0004,olivia.garcia@dtaa.com,olivia.garcia@dtaa.com,,alice.smith@company.com,23172712,9
E000014,07/18/2010 03:07:00,olivia.garcia,DSK0003,alice.smith@dtaa.com,,,olivia.garcia@external.com,7154040,1
E000015,05/29/2010 00:07:00,iris.lee,DSK0002,charlie.brown@external.com,,,iris.lee@company.com,30136801,0
E000016,07/28/2010 23:32:00,frank.miller,LAP0005,iris.lee@external.com,,,frank.miller@dtaa.com,1172481,6
E000017,09/13/2010 04:07:00,jack.white,DSK0002,olivia.garcia@dtaa.com,,,jack.white@partner.com,21493326,0
E000018,02/08/2010 21:53:00,grace.taylor,DSK0002,noah.martin@dtaa.com,grace.taylor@dtaa.com,,grace.taylor@external.com,47389897,0
E000019,11/11/2010 06:50:00,iris.lee,DSK0005,peter.robinson@dtaa.com,,,iris.lee@partner.com,5957265,0
E000020,10/07/2010 02:45:00,diana.wilson,DSK0005,karen.green@external.com,,leo.harris@dtaa.com,diana.wilson@partner.com,49640190,1
E000021,05/28/2010 19:49:00,leo.harris,LAP0002,iris.lee@company.com,,,leo.harris@dtaa.com,18840125,0
E000022,05/27/2010 12:56:00,diana.wilson,LAP0002,iris.lee@partner.com,eve.davis@dtaa.com,,diana.wilson@dtaa.com,37965238,1
E000023,09/20/2010 18:51:00,henry.clark,LAP0001,charlie.brown@external.com,,,henry.clark@dtaa.com,15480456,1
E000024,10/14/2010 01:33:00,henry.clark,LAP0005,leo.harris@partner.com,,mia.thompson@dtaa.com,henry.clark@external.com,12557837,0
E000025,10/06/2010 18:39:00,grace.taylor,DSK0002,noah.martin@partner.com,,,grace.taylor@dtaa.com,43342342,1
E000026,04/27/2010 00:52:00,frank.miller,DSK0004,mia.thompson@dtaa.com,,,frank.miller@external.com,12226842,1
E000027,07/24/2010 11:00:00,alice.smith,LAP0002,henry.clark@company.com,,,alice.smith@partner.com,38145940,1
E000028,12/31/2010 09:54:00,grace.taylor,LAP0003,peter.robinson@partner.com,eve.davis@dtaa.com,,grace.taylor@dtaa.com,22215772,2
E000029,11/01/2010 16:06:00,olivia.garcia,DSK0004,karen.green@external.com,,,olivia.garcia@external.com,40767417,3
E000030,03/21/2010 05:59:00,karen.green,LAP0005,henry.clark@company.com,bob.johnson@dtaa.com,,karen.green@dtaa.com,17405416,4
E000031,02/27/2010 21:54:00,leo.harris,DSK0004,bob.johnson@external.com,mia.thompson@dtaa.com,,leo.harris@company.com,22210525,0
